"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"VPS41",-0.106357135461734,3.55663538917879,-0.357762510987221,0.720773964135859,0.849449177043237,-7.18729484037842
"CCDC107",-0.0946454296103391,4.11158145175889,-0.357167536749034,0.72121884118784,0.849859827167862,-7.18750709188899
"TNPO3",0.066818689337455,4.20237123134029,0.356654827357371,0.721602282835798,0.850019119961355,-7.18768971304146
"PRKAR2A",-0.075026506408574,1.63549557094636,-0.356611352624823,0.721634799661829,0.850019119961355,-7.18770518618299
"E2F2",-0.0700720225102845,1.32953121918245,-0.356599888842731,0.72164337405547,0.850019119961355,-7.18770926595671
"HIST2H2AA1",0.0866080466713574,1.97354862039761,0.356375822502294,0.721810972662406,0.850102913547212,-7.18778898121433
"CDC25B",-0.101940167380836,2.08098584995909,-0.355911992139151,0.722157954175055,0.850397922253442,-7.18795383736146
"TOPBP1",0.0702276546639667,3.57453853269037,0.35567359885671,0.72233631341624,0.850494312643597,-7.18803848444128
"CAML",0.103401614971252,3.24360198215173,0.3554559338999,0.722499177546447,0.85050928692264,-7.18811572195559
"TBC1D7",0.115476809258266,3.93202775326133,0.355398646861705,0.722542043707002,0.85050928692264,-7.18813604217238
"VCP",-0.0371056725859911,6.21555864366149,-0.354752278689964,0.723025762113424,0.85096501622671,-7.18836508789569
"SYTL3",-0.0928190427735788,2.49647495891951,-0.354487689436054,0.723223803179879,0.850996927617833,-7.18845872704137
"TANGO2",0.0979952375844438,2.30691879966306,0.354458036857196,0.723245998849151,0.850996927617833,-7.18846921685205
"AES",0.0581617214167983,1.79472986845083,0.354290061683093,0.723371736727885,0.851031252941243,-7.18852862271395
"MRPS7",0.0478884963714807,6.37521706859732,0.354066296286236,0.72353924805599,0.851098921108895,-7.18860771556332
"COQ6",0.0973374430670596,2.65319091879972,0.353955225947001,0.72362240052978,0.851098921108895,-7.18864695630693
"LY6K",-0.0562633615379576,0.372986646223056,-0.353027953268364,0.724316728277173,0.851757636992139,-7.18897407830647
"DNAJC10",-0.0886789334641431,5.01066891575788,-0.352911098144871,0.724404243812198,0.851757636992139,-7.18901524146701
"TDP1",0.111878269725397,4.32364494875921,0.352820098106125,0.724472398376611,0.851757636992139,-7.18904728753478
"EIF1B",0.090098267292895,6.3845082296546,0.352637698076828,0.724609013657355,0.851804620163035,-7.18911149565217
"GPX4",-0.024118258942289,8.79917904885631,-0.352387163468762,0.724796675228686,0.851911589595947,-7.18919963429858
"DDX28",-0.0896500224408677,1.87034357616168,-0.351992732454852,0.725092155282169,0.852145241299074,-7.18933826919377
"PPP5C",0.0731865542685079,4.81675153528835,0.351696135792978,0.725314371806101,0.85227703386095,-7.1894424150143
"ETFA",0.0461953143326489,6.6965335345077,0.351584908774249,0.725397711447973,0.85227703386095,-7.18948144822942
"RNMTL1",0.0827536934479561,1.87845747299633,0.351131185408584,0.725737708947133,0.852465177500867,-7.18964054686353
"TKT",0.0581848297798753,5.44560812445462,0.350948270651123,0.725874791448256,0.852465177500867,-7.18970462807947
"GTF2F1",0.0642849352182338,5.3032644893331,0.350889970079487,0.725918485722053,0.852465177500867,-7.18972504572675
"RASA2",0.0662379049821624,3.36751186203163,0.350744545129087,0.726027480628813,0.852465177500867,-7.18977596073643
"ACADM",-0.0937348037960958,4.91453743530241,-0.350613042292103,0.726126045817129,0.852465177500867,-7.18982198329142
"SAV1",0.06588467207453,1.38120914481186,0.350596807136578,0.726138214852946,0.852465177500867,-7.18982766397556
"MSL1",0.0644571561716871,1.66230929324509,0.350178043156421,0.726452122746688,0.852694100204606,-7.18997409875184
"CCBL1",0.0809392983285997,1.01492323409869,0.350078534619397,0.726526721710698,0.852694100204606,-7.19000886951361
"SLIRP",-0.0294119092125053,9.38560862177779,-0.349753487810919,0.726770419014007,0.852866538318301,-7.19012238016125
"TRMT6",0.0663421579868817,5.1125393622958,0.349222322089519,0.727168709620448,0.85322032191253,-7.19030764350938
"FAM219B",0.0701179235987321,1.23562100495591,0.348999556688304,0.727335770637132,0.853302735173728,-7.19038525730091
"FBXW2",0.0774841751986026,1.91278611160625,0.348335905280682,0.727833547546855,0.853773067287427,-7.19061618707486
"UBAP1",0.0894731008893273,1.73342850831285,0.348071575026091,0.728031842667084,0.853892018821535,-7.19070804337189
"SLFN2",-0.0885231650693825,5.85147327663886,-0.347888205196481,0.728169413692596,0.853939726263852,-7.19077172451985
"RPL3",0.0106763030019614,11.6704842580505,0.347529129395202,0.728438831516157,0.854142019977634,-7.19089632817615
"ACIN1",-0.0423484131461302,5.06411473647284,-0.347097824686264,0.728762487918717,0.854372036607838,-7.19104582617131
"GM5129",0.0450049246039985,0.265716660242453,0.3469884474679,0.728844573666995,0.854372036607838,-7.19108370880296
"MESDC2",-0.0814807214343638,2.67288239866247,-0.346880179001351,0.728925830393094,0.854372036607838,-7.19112119567117
"RBM43",0.0836786888790059,1.28337324151916,0.346137354565894,0.729483411147051,0.85491187532433,-7.1913780759462
"WBP11",0.0345263078264159,4.55932428957397,0.345189952557095,0.730194761066718,0.855596161614503,-7.19170490391999
"SAP25",-0.0576219733083239,0.55851096240958,-0.345101124217207,0.730261469155145,0.855596161614503,-7.19173550139138
"1700021K19RIK",0.0469836353438849,0.544430184022728,0.344871561194493,0.730433875328067,0.855684400274659,-7.19181453935193
"MUM1",-0.0661120115524763,2.00133794292589,-0.344465512109223,0.730738859390941,0.855884137574364,-7.19195421232756
