	AveExpr	Coef.(Intercept)	Coef.metadata$cell_typeTh17p	t.(Intercept)	t.metadata$cell_typeTh17p	P.value.(Intercept)	P.value.metadata$cell_typeTh17p	F	F.p.value
ZMYND19	0.648101546640477	0.594016321809388	0.11283967770515	5.06603592780532	0.666254454041948	7.13029712180143e-07	0.505763213787911	29.5590315423547	1.94043754864306e-12
ARF6	4.58681539902687	4.56127268192274	0.0532905608647271	61.1307817438915	0.494461641001778	8.3224287498764e-171	0.621344004858886	3628.90865168853	3.92099161536218e-210
VCPKMT	3.73565004659375	3.61178510826817	0.258423252621702	19.6854064983945	0.975129901326823	7.16262144315352e-56	0.330285642092014	398.553637859871	5.3516365196412e-85
SOS2	1.20615578351958	1.26004251540999	-0.112425555742582	10.2040395074803	-0.63031896833395	3.62234068293868e-21	0.528968297589501	91.8147355243892	8.41877834439797e-32
L2HGDH	0.844206747856912	0.800461171765803	0.0912677486792908	7.0103852175611	0.553384959986323	1.59070291289664e-11	0.580414201121044	52.6449722253673	2.61557620426149e-20
ATP5S	1.00345038672121	0.787689031765745	0.450149589475427	5.64066291669977	2.2317246415982	3.93270272527295e-08	0.0263755521684638	52.0733844907804	3.99320164807282e-20
DPH7	2.95852786239448	2.91002762538865	0.101187544832314	17.9193346079541	0.431380219393967	2.96729369567322e-49	0.666503407588524	318.800275277875	8.41131214091789e-75
SAV1	1.38120914481186	1.34962993992096	0.06588467207453	10.3736089089983	0.350596807136578	9.87526929190777e-22	0.726138214852946	108.289619999539	4.37281194355294e-36
MRPL41	6.2319195492808	6.26458670795708	-0.0681545037131097	75.8953628722712	-0.571644169133279	3.82713799345484e-197	0.567993387882643	5473.85550365622	6.70287716977137e-236
NIN	1.96882936410855	2.26315047262698	-0.614051233599598	16.572125544477	-3.11299048838107	3.47836520809889e-44	0.0020316038831102	204.434436458964	1.20648632446243e-56
TMX1	5.75468593030777	5.96457817458993	-0.437904682315302	52.5992451571013	-2.6735466524757	5.58303586892909e-153	0.00791863038943626	2476.62941604931	1.47476780826174e-186
FRMD6	3.03549004901375	3.37660834858721	-0.711685660980613	18.9942399012672	-2.77164654507138	2.7412735950296e-53	0.00592774466797978	283.823675316587	9.08087513739296e-70
ACTR10	6.62520821462026	6.60566197628165	0.0407799217136502	108.670474989643	0.464461807491527	5.15948037201157e-242	0.642655599396139	11407.3472711061	1.4030619142361e-282
PSMA3	9.87285452859315	9.76774134231575	0.219300892233411	288.023276626688	4.47694991581744	0	1.07890703592418e-05	81394.8407493184	0
ARID4A	4.01381260538152	3.9977882299636	0.0334321501524886	31.5514380641723	0.182672041887565	4.61648167671788e-97	0.855179394933495	963.632649995855	6.26871195343203e-131
TIMM9	6.3518654877578	6.08157284376057	0.563919904742406	35.6899034937833	2.29115930042034	1.07273396676198e-109	0.0226509933458472	1336.92186432959	1.13133712333477e-149
2700049A03RIK	2.41719368647364	2.39033496057561	0.056036190722506	14.061068660301	0.22821099863388	8.33472220181834e-35	0.819638510760824	194.174114922793	9.75817724898363e-55
NSMF	0.324720160448757	0.396480763570987	-0.149716366226236	4.53730789450074	-1.18618877149761	8.2677719145337e-06	0.236491344744487	13.9640805338169	1.59484420740688e-06
JKAMP	1.57509812196918	1.55916728612872	0.0332369956383619	9.35115802765646	0.138007549213804	2.13300131200013e-18	0.890327529108139	85.7037660902718	3.88493414845225e-30
PCNXL4	1.8240153384173	1.9294105319907	-0.219889252779045	13.165747156935	-1.03880317938229	1.59569298430194e-31	0.299737256646474	149.300785173069	1.15914998416653e-45
DHRS7	3.42501022645879	3.23993826756566	0.386121353086378	15.8653490115685	1.30901648392758	1.57400048103783e-41	0.19153588792474	270.966716618169	8.15052729253454e-68
PPM1A	1.48529560548619	1.52815279098911	-0.0894142719125565	11.3833287078029	-0.461124018189684	3.56314917574533e-25	0.645045544121979	117.656103703089	2.11611082362757e-38
MNAT1	4.18064650294105	4.12009918151338	0.12632174974118	32.492068104101	0.689693634859773	5.16073228114499e-100	0.490922854865834	1044.03789817121	1.89122774319871e-135
TRMT5	2.55366122822982	2.47899531795358	0.155777798418055	12.3929864100621	0.539155735851178	9.7948605139861e-29	0.590181422242329	156.646718264216	3.08187439225941e-47
SLC38A6	0.81542580133834	0.896342391304298	-0.168818784821063	8.52857104102572	-1.11206841509278	7.54823767270284e-16	0.267003849747788	58.4232439670949	3.87843347002892e-22
PRKCH	2.67300864027667	2.81162609385157	-0.289201881559142	16.6723647137775	-1.18726906512027	1.45984003960059e-44	0.236065745346267	241.956876923615	3.52372232714405e-63
HIF1A	4.50916840405877	4.40341192452902	0.220643014846248	37.4481263264903	1.29909036938758	8.55618185299329e-115	0.194915758846005	1412.9440466241	6.61997820610732e-153
SNAPC1	3.88840967201788	3.89334740452621	-0.0103017440821227	23.8650996760664	-0.0437178960361171	3.72694334081742e-71	0.965158512796128	545.526729738144	2.12068507716077e-100
PPP2R5E	1.53797285152638	1.56815528404043	-0.0629705426552075	11.8878795280117	-0.330492163845333	6.10096777028529e-27	0.741260030788676	130.587231782032	1.81690695959794e-41
WDR89	1.60966417261313	1.5306155251098	0.164921638676	9.19836243993392	0.68616797763546	6.48818961475206e-18	0.493139972900618	90.0921035552544	2.45496568317897e-31
SGPP1	2.05262156999946	1.9403347994191	0.234267363081343	11.3470081672972	0.94847280923052	4.7631828832202e-25	0.343656278532685	138.812243225255	2.40945490540492e-43
MTHFD1	5.89261145309875	5.73475298616678	0.329345002951594	42.8618041797902	1.70417900730291	1.48761006273888e-129	0.0893885900471325	1864.04581122005	2.41142383461576e-169
TOR4A	6.27339580508121	6.0047757348603	0.560430362331391	85.7186876429024	5.5387119353396	3.16205547582329e-212	6.69047829013027e-08	7716.45840129967	1.19660200153003e-257
ZBTB25	1.18080942555442	0.790322177791578	0.814685624828954	5.37590185393158	3.83659199753929	1.53935974316723e-07	0.000152267141075247	69.3102455718238	1.89240490923213e-25
ZBTB1	2.3810884024014	2.4632840506899	-0.171487323767373	14.9512177306796	-0.720613667903393	4.14306307652142e-38	0.471711358409327	200.829763115745	5.56427144491589e-56
HSPA2	0.577200987420742	0.503093129231727	0.154613517084995	4.97676440656524	1.05889904526032	1.09451958650538e-06	0.290502133277308	31.8677146688322	2.86022758213411e-13
GM10451	0.187848739254885	0.208750338800998	-0.043607653729299	2.7616436344878	-0.399403226272551	0.00610765593901938	0.689881819365357	6.01022334272438	0.00276054534537813
NELFB	3.87155202314478	3.35723982219783	1.07302545521306	17.4002226341784	3.85026716026035	2.66209862431745e-47	0.000144392345506556	394.051699860513	1.83339134759844e-84
CHURC1	10.0889563059327	9.84243012432142	0.51433519904501	157.4372918086	5.695868027591	3.22851024834608e-289	2.94044321125212e-08	25025.0919667453	0
FNTB	1.8297315396825	1.86547473566422	-0.0745721355014318	11.9406055972696	-0.33046233193194	3.97416801207399e-27	0.741282545502174	131.770976889295	9.67744995705809e-42
MAX	1.54444300713099	1.64350080618211	-0.206667350538318	12.7286300635088	-1.10813332647201	6.10767460928528e-30	0.26869659335802	138.004989231201	3.66261441728649e-43
FUT8	3.71134429637936	3.50477024362177	0.430981836688504	21.0448926875018	1.79165560033479	6.49429258576524e-61	0.0742012999037473	478.505616639774	7.94423641755796e-94
GPHN	1.54863596695864	1.21751213595618	0.690833892019512	8.70517935138168	3.41968781778801	2.19644110372823e-16	0.000714249639413543	123.580234338335	7.99443900227289e-40
MPP5	2.09888873601102	2.20507307717158	-0.221535675802596	13.6052751961859	-0.946316515285664	3.96066972889792e-33	0.344752813771132	161.48954282454	2.95691461344192e-48
ATP6V1D	6.72372982573515	6.68975876390971	0.0708748771897874	68.6698155051522	0.503681667293421	7.04145361863448e-185	0.61485671651631	4574.40332061488	1.32071915113872e-224
EIF2S1	8.2693844899997	8.27904783275384	-0.0201609309258994	201.448019091909	-0.339626517768758	7.2924089326168e-321	0.734376715963123	38877.9438666742	0
PLEK2	0.226846637080011	0.289507054341458	-0.130730366948343	3.53827212832741	-1.10615748466585	0.000466903886441574	0.269549321630159	7.99287210624927	0.00041545617969298
TMEM229B	0.374839119470446	0.10265839479442	0.567859065870845	1.18712780160995	4.54623594720507	0.236121367458525	7.94668008643484e-06	28.3762223716125	5.22482630354245e-12
PIGH	1.55317976019964	1.57809758239467	-0.0519868232846103	9.58741656544902	-0.218660040581788	3.74798057632479e-19	0.827064348054842	85.5246682597343	4.35317332191095e-30
VTI1B	5.44230750711656	5.23224342871107	0.438263185162537	35.535045589415	2.0606884059771	3.06937058864561e-109	0.0401992406361923	1314.00614683625	1.14961086748162e-148
